"comune","provincia","denominazione","tipologia funzionale","denominazione ente","OBR","Sistema bibliotecario","indirizzo","frazione","cap","latitudine","longitudine","telefono","fax","email","url"
"Monte Porzio Catone","Roma","Biblioteca scolastica - Istituto comprensivo Don Lorenzo Milani","Scolastica","Ministero dell'istruzione, dell'università e della ricerca. Istituto comprensivo don Lorenzo Milani",,,"Via Costagrande 18/c",,"00040","41.8161632","12.7181946","+39 069449282","+39 069447479",,"http://www.icdonmilani.it/"
"Roma","Roma","Biblioteca emeroteca dell'Azione cattolica italiana","Importante non specializzata","Presidenza nazionale dell'Azione Cattolica Italiana",,,"Via Aurelia, 481",,"00165","41.8984488","12.4249733","+39 06.66132647","+39 06.66132360","s.pattaro@azionecattolica.it",
"Roma","Roma","Biblioteca Casa del Parco","Pubblica","Comune di Roma - Istituzione Biblioteche di Roma","OBR","Sistema delle Biblioteche – Centri culturali di Roma capitale","Via della Pineta Sacchetti 78",,"00167","41.9104037","12.4243619","+39 3486701809",,"casadelparco@bibliotechediroma.it","http://tinyurl.com/6b2o5d"
"Roma","Roma","Biblioteca del Dipartimento di diritto ed economia delle attività produttive dell'Università degli studi di Roma La Sapienza","Istituto di insegnamento superiore","Università degli studi di Roma La Sapienza. Dipartimento di diritto privato e comunitario",,,"Viale del Castro Laurenziano 9",,"00185","41.9056641","12.5173924","+39 0649766439","+39 06491668","elisa.bonocore@uniroma1.it",
"Roma","Roma","Biblioteca della Fondazione Craxi","Specializzata","Fondazione Bettino Craxi",,,"Via Montevideo 2/a",,"00198","41.9212708","12.4962785","+39 068550811","+39 0685508136","archivio@fondazionecraxi.org","www.fondazionecraxi.org/biblioteca"
"Monte Compatri","Roma","Biblioteca dell'Istituto comprensivo di Montecompatri","Scolastica","Ministero dell'istruzione, dell'università e della ricerca",,,"Via Serranti 1",,"00040","41.8089308","12.7484505","+39 069485053",,"paola.riberadalcala@istruzione.it","http://www.icmontecompatri.it/"
"Cave","Roma","Biblioteca del Circolo didattico di Cave","Scolastica","Ministero dell'istruzione, dell'università e della ricerca",,,"Via G. Matteotti 11",,"00033","null","null","+39 069580694",,"rmee218001@istruzione.it",
"Frascati","Roma","Biblioteca del Circolo didattico di Frascati","Scolastica","Ministero dell'istruzione, dell'università e della ricerca",,,"Via don Bosco",,"00044","41.8075989","12.6751496","+39 069422630",,"villasciarra@virgilio.it",
"Genazzano","Roma","Biblioteca dell'Istituto comprensivo statale Giuseppe Garibaldi","Scolastica","Ministero dell'istruzione, dell'università e della ricerca",,,"Via dell'acqua Santa",,"00030","41.8246903","12.9768506","+39 069579052",,,
"Albano Laziale","Roma","Biblioteca dell'Istituto professionale di Stato per i servizi commerciali ed il turismo Nicola Garrone","Scolastica","Ministero dell'istruzione, dell'università e della ricerca",,,"Via della Stella 7",,"00041","41.7240366","12.6630448","+39 069323128",,,"http://www.nicolagarrone.it/3skl/vortal/garrone/index.jsp?id_lingua=0&id_struttura=94&opzione=documento&id_categoria=5&subopzione=doc&id_documento=19&visPrimo=0"
"Ariccia","Roma","Biblioteca dell'Istituto comprensivo statale di Ariccia","Scolastica","Ministero dell'istruzione, dell'università e della ricerca",,,"Via Strada nuova",,"00040","41.7197125","12.6730256","+39 069331788",,,
"Ciampino","Roma","Biblioteca dell'Istituto tecnico Michele Amari","Scolastica","Ministero dell'istruzione, dell'università e della ricerca",,,"Via Romana 11",,"00043","41.7798867","12.6372057","+39 077960023",,,
"Genzano di Roma","Roma","Biblioteca dell'Istituto di istruzione superiore Sandro Pertini","Scolastica","Ministero dell'istruzione, dell'università e della ricerca",,,"Via Napoli",,"00045","41.7000666","12.683509","+39 069390565",,,
"Marino","Roma","Bibloteca dell'Istituto statale d'arte Paolo Mercuri","Scolastica","Ministero dell'istruzione, dell'università e della ricerca",,,"Corso Vittorio Colonna 53",,"00043","41.7698036","12.6585277","+39 069388142",,,"http://isamarino.fasturl.it/"
"Roma","Roma","Biblioteca dell'Istituto comprensivo statale via Niobe","Scolastica","Ministero dell'istruzione, dell'università e della ricerca",,,"Via Niobe 52",,"00100","41.8221229","12.6153702","+39 067981110",,,
"Roma","Roma","Biblioteca dell'Istituto di istruzione superiore Bertrand Russell. Sede Pitagora","Scolastica","Ministero dell'istruzione, dell'università e della ricerca",,,"Via Tuscolana 388",,"00181","41.8744196","12.5291391","+39 0678396616","+39 0678346688","liceo.pitagora@liceorussellroma.it","http://w3.romascuola.net/pitagora/"
"Roma","Roma","Biblioteca del Liceo scientifico Tullio Levi Civita","Scolastica","Ministero dell'istruzione, dell'università e della ricerca",,,"Via Aquilonia 30",,"00177","41.8919239","12.5498605",,,"caterinalexandra@hotmail.it",
"Roma","Roma","Biblioteca dell'Istituto tecnico per il turismo Marco Polo","Scolastica","Ministero dell'istruzione, dell'università e della ricerca",,,"Via Tuscolana 388",,"00181","41.8744196","12.5291391",,,"mariabenedetta.mioni@istruzioni.it",
"Roma","Roma","Biblioteca del Liceo scientifico Keplero","Scolastica","Ministero dell'istruzione, dell'università e della ricerca",,,"Via Gherardi 87-89",,"00146","41.8628687","12.47309",,,"gambardellaanna@hotmail.com",
"Roma","Roma","Biblioteca dell'Istituto di istruzione superiore Sibilla Aleramo","Scolastica","Ministero dell'istruzione, dell'università e della ricerca",,,"Via S. Cannizzaro 16",,"00156","41.9278675","12.5747215",,,"maria.cascone1@virgilio.it",
"Roma","Roma","Biblioteca del Liceo classico Virgilio","Scolastica","Ministero dell'istruzione, dell'università e della ricerca",,,"Via Giulia 38",,"00168","41.8966002","12.4677776",,,"elemidan@tiscalinet.it",
"Roma","Roma","Biblioteca del Liceo ginnasio E. Montale","Scolastica","Ministero dell'istruzione, dell'università e della ricerca",,,"Via di Bravetta 545",,"00164","41.8722349","12.4225504","+39 0666150748",,"martabonomo3@virgilio.it",
"Roma","Roma","Biblioteca del 120° Circolo didattico Gandhi","Scolastica","Ministero dell'istruzione, dell'università e della ricerca",,,"Via Corinaldo 41",,"00156","41.9377952","12.5853756",,,"cecilia.sa@libero.it",
"Roma","Roma","Biblioteca del Liceo ginnasio statale Pilo Albertelli","Scolastica","Ministero dell'istruzione, dell'università e della ricerca",,,"Via Manin 72",,"00185","41.8984334","12.4986273",,,"paopedul@fastwebnet.it",
"Roma","Roma","Biblioteca dell'ITIS Blaise Pascal","Scolastica","Ministero dell'istruzione, dell'università e della ricerca",,,"Via Brembio 97",,"00188","41.9951626","12.4883595",,,"annarumi@virgilio.it",
"Roma","Roma","Biblioteca SMS via della Maratona","Scolastica","Ministero dell'istruzione, dell'università e della ricerca",,,"Via della Maratona 23",,"00114","41.944218","12.4590896",,,"carmelapedretti@alice.it",
"Roma","Roma","Biblioteca dell'Istituto comprensivo Largo Castelseprio","Scolastica",,,,"Largo Castelseprio 9",,"00188","41.9914368","12.4795413",,,"ornpiani@libero.it",
"Roma","Roma","Biblioteca dell'Istituto comprensivo Castelseprio - Plesso Grottarossa","Scolastica","Ministero dell'istruzione, dell'università e della ricerca",,,"Via Grottarossa",,"00100","41.9724197","12.4392017","+39 0633613557",,,
"Roma","Roma","Biblioteca III CD Don L. Milani","Scolastica","Ministero dell'istruzione, dell'università e della ricerca",,,"Via C.A. Dalla Chiesa","Torvaianica","00040","41.63032774","12.45231628",,,"mariagrazia.passeri@istruzione.it",
"Pomezia","Roma","Biblioteca dell'Istituto tecnico commerciale Copernico","Scolastica","Ministero dell'istruzione, dell'università e della ricerca",,,"Via Copernico 1",,"00040","41.6658575","12.4991651",,,"cfinizio@alice.it",
"Pomezia","Roma","Biblioteca dell'Istituto comprensivo fratelli Bandiera","Scolastica","Ministero dell'istruzione, dell'università e della ricerca",,,"Via fratelli Bandiera",,"00040","41.6639289","12.4991243",,,"bartolomeo.salvatore@virgilio.it",
"Pomezia","Roma","Biblioteca dell'Istituto di istruzione superiore Emilio Cavazza","Scolastica","Ministero dell'istruzione, dell'università e della ricerca",,,"Largo Brodolini",,"00040","41.6573719","12.4990962",,,"mtascin@tele2.it","http://www.ipsiacavazza.it/"
"Roma","Roma","Biblioteca del 196. Circolo didattico Walt Disney","Scolastica","Ministero dell'istruzione, dell'università e della ricerca",,,"Via C. Perrazzi",,"00100","41.9567087","12.5256938",,,"pecci.d@inwind.it",
"Roma","Roma","Biblioteca della Scuola media Luigi Settembrini","Scolastica","Ministero dell'istruzione, dell'università e della ricerca",,,"Via Sebenico 1",,"00100","41.9181499","12.5066078",,,"pace@virgilio.it",
"Roma","Roma","Biblioteca del 25° Circolo didattico Vespucci","Scolastica","Ministero dell'istruzione, dell'università e della ricerca",,,"Via delle Acacie 56",,"00100","41.8883014","12.5688147",,,"fiorina.cirelli@fastwebnet.it",
"Roma","Roma","Biblioteca del 184° Circolo didattico Oscar Romero","Scolastica","Ministero dell'istruzione, dell'università e della ricerca",,,"Via Calimera 133",,"00100","41.8866698","12.6200809",,,"magachilu@yahoo.it",
"Roma","Roma","Biblioteca del Liceo scientifico statale Benedetto Croce","Scolastica","Ministero dell'istruzione, dell'università e della ricerca",,,"Via Bardanzellu 7",,"00155","41.9151539","12.5739131",,,"liceo.croce@tiscali.it","http://www.liceocroceroma.it/Biblioteca.html"
"Roma","Roma","Biblioteca della Scuola media Viale Santi","Scolastica","Ministero dell'istruzione, dell'università e della ricerca",,,"Viale Santi 31",,"00159","41.9131028","12.5681526",,,"laura.tommy@libero.it",
"Roma","Roma","Biblioteca dell'Istituto superiore per l'informatica Von Neumann","Scolastica","Ministero dell'istruzione, dell'università e della ricerca",,,"Via Pollenza 115",,"00156","41.9457251","12.5780407",,,"salvatore.mastrucci@istruzione.it",
"Roma","Roma","Biblioteca dell'Istituto comprensivo Casal Bianco","Scolastica","Ministero dell'istruzione, dell'università e della ricerca",,,"Via Casal Bianco 140",,"00131","41.9416599","12.6289264",,,"luigi.spada@istruzione.it",
"Roma","Roma","Biblioteca dell'Istituto comprensivo Balabanoff","Scolastica","Ministero dell'istruzione, dell'università e della ricerca",,,"Via Balabanoff 60",,"00155","41.9170204","12.5729334",,,"laurapila@tiscali.it",
"Roma","Roma","Biblioteca della Scuola media statale Federico Fellini","Scolastica","Ministero dell'istruzione, dell'università e della ricerca",,,"Via Belforte Del Chienti 24",,"00156","41.9430796","12.5742838",,,"freestate@fastwebnet.it",
"Roma","Roma","Biblioteca della Scuola media statale Luigi Di Liegro","Scolastica","Ministero dell'istruzione, dell'università e della ricerca",,,"Via A. Cortina 70",,"00159","41.9027562","12.5490093",,,"anna.tonachella@istruzione.it",
"Tivoli","Roma","Biblioteca del Liceo ginnasio statale Amedeo di Savoia","Scolastica","Ministero dell'istruzione, dell'università e della ricerca",,,"Via Tiburto 44",,"00019","41.9569242","12.7984239",,,"dina_mosconi@libero.it",
"Tivoli","Roma","Biblioteca del Liceo Isabella d'Este","Scolastica","Ministero dell'istruzione, dell'università e della ricerca",,,"Largo g. Baja 8",,"00019","41.961802","12.800707",,,"RMPM07000R@istruzione.it","http://www.liceodestetivoli.it/index1.htm"
"Tivoli","Roma","Biblioteca dell'Istituto tecnico per ragionieri e geometri Enrico Fermi","Scolastica","Ministero dell'istruzione, dell'università e della ricerca",,,"Via Acquaregna",,"00019","41.9568883","12.8055135",,,"rosadeluca@infinito.it","http://80.19.232.69/fermitivoli/Default.htm"
"Tivoli","Roma","Biblioteca dell'Istituto comprensivo via della Leonina","Scolastica","Ministero dell'istruzione, dell'università e della ricerca",,,"Villa Adriana",,"00019","41.955328","12.7684927",,,"miannilli@alice.it",
"Tivoli","Roma","Biblioteca del Circolo didattico Tivoli 1","Scolastica","Ministero dell'istruzione, dell'università e della ricerca",,,"Via del Collegio 2",,"00019","41.9628775","12.7985322",,,"rmee26400P@istruzione.it",
"Tivoli","Roma","Biblioteca dell'Istituto comprensivo Tommaso Neri","Scolastica","Ministero dell'istruzione, dell'università e della ricerca",,,"Via T. Neri 15",,"00019","41.9535708","12.7213431",,,,
"Tivoli","Roma","Biblioteca dell'Istituto comprensivo Alfredo Baccelli","Scolastica","Ministero dell'istruzione, dell'università e della ricerca",,,"Via dei Pini",,"00019","41.9554491","12.8021215",,,"icbacti@libero.it","http://www.istitutobaccellitivoli.it/BIBLIOTECA.htm"
"Tivoli","Roma","Biblioteca dell'Istituto d'istruzione superiore Agnese","Scolastica","Ministero dell'istruzione, dell'università e della ricerca",,,"Via S. Agnese 44",,"00019","41.9574154","12.8086738",,,"silvana.petroselli@email.it",
"Roma","Roma","Biblioteca Valerio Ceccarelli","Scolastica","Ministero dell'istruzione, dell'università e della ricerca",,,"Capo Palinuto 62",,"00122","41.7359347","12.2864454",,,,
"Roma","Roma","Biblioteca scolastica dell'Istituto tecnico per il turismo Cristoforo Colombo","Scolastica","Ministero dell'istruzione, dell'università e della ricerca",,,"Via Panisperna 255",,"00184","41.8961561","12.489615","+39 064818772","+39 064827701",,
"Roma","Roma","Biblioteca del Liceo classico Platone, sezione dell'IISS Via delle Sette Chiese","Scolastica","Ministero dell'istruzione, dell'università e della ricerca",,,"Via Nistri 11",,"00146","41.8538085","12.4700389","+39 065123106","+39 0651882892","bianca.antonelli@alice.it",
"Roma","Roma","Biblioteca dell'Istituto comprensivo Giuseppe Montezemolo","Scolastica","Ministero dell'istruzione, dell'università e della ricerca",,,"Via A. Di Bonaiuto 16",,"00142","41.8279366","12.4907243","+39 065030846","+39 0651963016",,
"Roma","Roma","Biblioteca dell'Istituto d'Istruzione Superiore Federico Caffè","Scolastica","Ministero dell'istruzione, dell'università e della ricerca",,,"Viale di Villa Pamphili 86",,"00152","41.8806408","12.4565173","+39 065897698","+39 065800321",,
"Roma","Roma","Biblioteca del Liceo Renzo Levi","Scolastica","Ministero dell'istruzione, dell'università e della ricerca",,,"Via Portico d'Ottavia 73",,"00186","41.8931558","12.4768701","+39 066833884",,"renzolevi@tiscalinet.it",
"Roma","Roma","Biblioteca dell'Istituto di istruzione secondaria superiore Vincenzo Gioberti","Scolastica","Ministero dell'istruzione, dell'università e della ricerca",,,"Via della Paglia 50",,"00153","41.8896001","12.4688028","+39 065812544","+39 065813577",,
"Roma","Roma","Biblioteca della Scuola media statale Riccardo Quartararo","Scolastica","Ministero dell'istruzione, dell'università e della ricerca",,,"Via della Magliana 296",,"00148","41.8431541","12.4553243","+39 0655285330","+39 0655287056","rmmm176003@istruzione.it",
"Roma","Roma","Biblioteca del 121° Circolo didattico Rio de Janeiro","Scolastica","Ministero dell'istruzione, dell'università e della ricerca",,,"Via Valagussa 28",,"00151","41.858536","12.4451607","+39 0665744653","+39 0665749441","rmee12100x@istruzione.it",
"Civitavecchia","Roma","Biblioteca del Liceo classico padre Alberto Guglielmotti","Scolastica","Ministero dell'istruzione, dell'università e della ricerca",,,"Via dell'Immacolata",,"00053","42.1015852","11.7989014","+39 076623256","+39 0766500028","rmpc1600v@istruzione.it",
"Roma","Roma","Biblioteca dell'Istituto comprensivo Guido Milanesi","Scolastica","Ministero dell'istruzione, dell'università e della ricerca",,,"Via Tropea 26",,"00178","41.8322703","12.5579215","+39 067188068","+39 067188068","rmmm12800n@istruzione.it",
"Roma","Roma","Biblioteca dell'Istituto tecnico agrario G. Garibaldi","Scolastica","Ministero dell'istruzione, dell'università e della ricerca",,,"Via Ardeatina 524",,"00179","41.8291677","12.5182122","+39 065032264","+39 065032428","rmta01000d@istruzione.it",
"Roma","Roma","Biblioteca del Liceo scientifico Malpighi","Scolastica","Ministero dell'istruzione, dell'università e della ricerca",,,"Via Silvestri 301",,"00164","41.8770489","12.4271405","+39 066663973","+39 0666167581","biblioteca.malpighi@gmail.com",
"Roma","Roma","Biblioteca dell'Istituto professionale per i servizi turistici Stendhal","Scolastica","Ministero dell'istruzione, dell'università e della ricerca",,,"Via Cassia 726",,"00189","41.9648335","12.4442379","+39 0633267632","+39 0633250851","lucianoschiavoni@libero.it",
"Roma","Roma","Biblioteca del Liceo scientifico Farnesina","Scolastica","Ministero dell'istruzione, dell'università e della ricerca",,,"Via dei Giochi Istmici 54",,"00194","41.94624","12.462074","+39 0636299595","+39 0636309457","rmps49000c@istruzione.it",
"Roma","Roma","Biblioteca dell'Istituto tecnico commerciale Piero Calamandrei","Scolastica","Ministero dell'istruzione, dell'università e della ricerca",,,"Via C. Emery 97",,"00188","41.9798982","12.4940471","+39 063328003","+39 063368820","msibona@katamail.it",
"Roma","Roma","Biblioteca Olga Apicella Gerratana dell'Istituto tecnico industriale E. Fermi","Scolastica","Ministero dell'istruzione, dell'università e della ricerca",,,"Via Trionfale 8737",,"00135","41.9400527","12.4235","+39 063386058","+39 063382908","rmtf40002@istruzione.it",
